M d02 d05 d08 s1 s3
4.4200 -0.178255 -0.388505 -0.539050 -0.706375 -0.480085
4.4300 -0.179080 -0.390890 -0.542759 -0.708466 -0.483481
4.4400 -0.179891 -0.393259 -0.546454 -0.710486 -0.486940
4.4500 -0.180687 -0.395609 -0.550135 -0.712435 -0.490462
4.4600 -0.181470 -0.397942 -0.553802 -0.714313 -0.494049
4.4700 -0.182238 -0.400257 -0.557455 -0.716120 -0.497700
4.4800 -0.182992 -0.402553 -0.561094 -0.717854 -0.501417
4.4900 -0.183732 -0.404831 -0.564718 -0.719517 -0.505199
4.5000 -0.184457 -0.407090 -0.568328 -0.721108 -0.509046
4.5100 -0.185167 -0.409331 -0.571922 -0.722627 -0.512959
4.5200 -0.185862 -0.411552 -0.575502 -0.724074 -0.516939
4.5300 -0.186543 -0.413754 -0.579066 -0.725448 -0.520983
4.5400 -0.187208 -0.415936 -0.582615 -0.726750 -0.525094
4.5500 -0.187858 -0.418098 -0.586148 -0.727979 -0.529270
4.5600 -0.188492 -0.420240 -0.589665 -0.729135 -0.533511
4.5700 -0.189111 -0.422361 -0.593167 -0.730219 -0.537816
4.5800 -0.189714 -0.424462 -0.596651 -0.731229 -0.542186
4.5900 -0.190302 -0.426542 -0.600119 -0.732166 -0.546619
4.6000 -0.190873 -0.428600 -0.603571 -0.733030 -0.551114
4.6100 -0.191429 -0.430637 -0.607005 -0.733821 -0.555672
4.6200 -0.191968 -0.432652 -0.610422 -0.734538 -0.560290
4.6300 -0.192492 -0.434645 -0.613822 -0.735182 -0.564968
4.6400 -0.192998 -0.436615 -0.617204 -0.735752 -0.569704
4.6500 -0.193488 -0.438563 -0.620568 -0.736249 -0.574498
4.6600 -0.193962 -0.440488 -0.623914 -0.736672 -0.579348
4.6700 -0.194418 -0.442389 -0.627241 -0.737021 -0.584252
4.6800 -0.194858 -0.444267 -0.630550 -0.737297 -0.589209
4.6900 -0.195281 -0.446121 -0.633839 -0.737499 -0.594218
4.7000 -0.195686 -0.447951 -0.637110 -0.737627 -0.599276
4.7100 -0.196074 -0.449756 -0.640361 -0.737682 -0.604381
4.7200 -0.196445 -0.451536 -0.643592 -0.737663 -0.609532
4.7300 -0.196798 -0.453292 -0.646803 -0.737570 -0.614727
4.7400 -0.197133 -0.455021 -0.649993 -0.737403 -0.619962
4.7500 -0.197451 -0.456725 -0.653164 -0.737162 -0.625237
4.7600 -0.197750 -0.458403 -0.656313 -0.736848 -0.630549
4.7700 -0.198031 -0.460054 -0.659441 -0.736460 -0.635894
4.7800 -0.198295 -0.461678 -0.662547 -0.735999 -0.641272
4.7900 -0.198539 -0.463275 -0.665632 -0.735463 -0.646678
4.8000 -0.198766 -0.464844 -0.668695 -0.734855 -0.652110
4.8100 -0.198973 -0.466385 -0.671735 -0.734173 -0.657566
4.8200 -0.199162 -0.467898 -0.674752 -0.733417 -0.663043
4.8300 -0.199333 -0.469382 -0.677747 -0.732588 -0.668536
4.8400 -0.199484 -0.470837 -0.680717 -0.731686 -0.674044
4.8500 -0.199616 -0.472262 -0.683665 -0.730710 -0.679564
4.8600 -0.199728 -0.473658 -0.686588 -0.729662 -0.685091
4.8700 -0.199822 -0.475023 -0.689486 -0.728541 -0.690622
4.8800 -0.199896 -0.476358 -0.692360 -0.727346 -0.696155
4.8900 -0.199950 -0.477661 -0.695208 -0.726079 -0.701685
4.9000 -0.199985 -0.478933 -0.698031 -0.724740 -0.707210
4.9100 -0.199999 -0.480172 -0.700828 -0.723328 -0.712724
4.9200 -0.199994 -0.481379 -0.703599 -0.721843 -0.718226
4.9300 -0.199969 -0.482554 -0.706343 -0.720287 -0.723710
4.9400 -0.199923 -0.483695 -0.709060 -0.718658 -0.729173
4.9500 -0.199857 -0.484802 -0.711749 -0.716957 -0.734612
4.9600 -0.199771 -0.485875 -0.714411 -0.715185 -0.740022
4.9700 -0.199664 -0.486913 -0.717043 -0.713342 -0.745398
4.9800 -0.199537 -0.487915 -0.719648 -0.711426 -0.750738
4.9900 -0.199388 -0.488883 -0.722222 -0.709440 -0.756037
5.0000 -0.199219 -0.489813 -0.724767 -0.707383 -0.761291
5.0100 -0.199029 -0.490707 -0.727282 -0.705255 -0.766496
5.0200 -0.198818 -0.491564 -0.729766 -0.703057 -0.771647
5.0300 -0.198585 -0.492383 -0.732219 -0.700788 -0.776740
5.0400 -0.198331 -0.493164 -0.734641 -0.698449 -0.781770
5.0500 -0.198056 -0.493905 -0.737030 -0.696041 -0.786735
5.0600 -0.197759 -0.494608 -0.739386 -0.693563 -0.791628
5.0700 -0.197440 -0.495270 -0.741709 -0.691015 -0.796446
5.0800 -0.197100 -0.495892 -0.743999 -0.688398 -0.801184
5.0900 -0.196737 -0.496472 -0.746254 -0.685713 -0.805838
5.1000 -0.196353 -0.497011 -0.748474 -0.682959 -0.810404
5.1100 -0.195947 -0.497507 -0.750659 -0.680136 -0.814876
5.1200 -0.195519 -0.497961 -0.752807 -0.677246 -0.819251
5.1300 -0.195068 -0.498370 -0.754919 -0.674288 -0.823524
5.1400 -0.194595 -0.498736 -0.756994 -0.671262 -0.827690
5.1500 -0.194099 -0.499056 -0.759030 -0.668170 -0.831746
5.1600 -0.193582 -0.499331 -0.761028 -0.665010 -0.835686
5.1700 -0.193041 -0.499560 -0.762987 -0.661784 -0.839506
5.1800 -0.192478 -0.499742 -0.764906 -0.658492 -0.843202
5.1900 -0.191892 -0.499876 -0.766784 -0.655134 -0.846769
5.2000 -0.191283 -0.499962 -0.768621 -0.651710 -0.850203
5.2100 -0.190651 -0.499999 -0.770415 -0.648222 -0.853500
5.2200 -0.189997 -0.499985 -0.772167 -0.644668 -0.856655
5.2300 -0.189319 -0.499922 -0.773875 -0.641050 -0.859664
5.2400 -0.188618 -0.499807 -0.775538 -0.637368 -0.862522
5.2500 -0.187894 -0.499640 -0.777157 -0.633622 -0.865226
5.2600 -0.187147 -0.499420 -0.778729 -0.629813 -0.867771
5.2700 -0.186376 -0.499146 -0.780254 -0.625941 -0.870153
5.2800 -0.185582 -0.498817 -0.781731 -0.622006 -0.872369
5.2900 -0.184765 -0.498434 -0.783159 -0.618009 -0.874413
5.3000 -0.183924 -0.497994 -0.784538 -0.613950 -0.876282
5.3100 -0.183059 -0.497496 -0.785866 -0.609830 -0.877972
5.3200 -0.182171 -0.496941 -0.787142 -0.605649 -0.879480
5.3300 -0.181260 -0.496327 -0.788365 -0.601407 -0.880800
5.3400 -0.180325 -0.495653 -0.789535 -0.597106 -0.881931
5.3500 -0.179366 -0.494918 -0.790650 -0.592744 -0.882868
5.3600 -0.178384 -0.494122 -0.791709 -0.588323 -0.883607
5.3700 -0.177377 -0.493263 -0.792710 -0.583844 -0.884145
5.3800 -0.176348 -0.492340 -0.793654 -0.579305 -0.884479
5.3900 -0.175294 -0.491352 -0.794538 -0.574710 -0.884605
5.4000 -0.174216 -0.490298 -0.795361 -0.570056 -0.884521
5.4100 -0.173115 -0.489178 -0.796121 -0.565346 -0.884222
5.4200 -0.171990 -0.487990 -0.796819 -0.560579 -0.883707
5.4300 -0.170842 -0.486733 -0.797452 -0.555756 -0.882971
5.4400 -0.169669 -0.485406 -0.798018 -0.550877 -0.882013
5.4500 -0.168473 -0.484007 -0.798517 -0.545943 -0.880829
5.4600 -0.167253 -0.482536 -0.798946 -0.540955 -0.879418
5.4700 -0.166010 -0.480992 -0.799305 -0.535913 -0.877775
5.4800 -0.164743 -0.479373 -0.799591 -0.530817 -0.875900
5.4900 -0.163452 -0.477678 -0.799803 -0.525668 -0.873789
5.5000 -0.162137 -0.475906 -0.799939 -0.520466 -0.871441
5.5100 -0.160799 -0.474055 -0.799998 -0.515212 -0.868854
5.5200 -0.159438 -0.472125 -0.799977 -0.509907 -0.866025
5.5300 -0.158053 -0.470114 -0.799874 -0.504551 -0.862953
5.5400 -0.156644 -0.468020 -0.799688 -0.499144 -0.859636
5.5500 -0.155212 -0.465843 -0.799417 -0.493688 -0.856073
5.5600 -0.153757 -0.463581 -0.799057 -0.488182 -0.852263
5.5700 -0.152279 -0.461233 -0.798608 -0.482627 -0.848203
5.5800 -0.150778 -0.458796 -0.798066 -0.477024 -0.843893
5.5900 -0.149254 -0.456271 -0.797430 -0.471373 -0.839332
5.6000 -0.147707 -0.453655 -0.796696 -0.465675 -0.834519
5.6100 -0.146137 -0.450946 -0.795862 -0.459931 -0.829454
5.6200 -0.144544 -0.448145 -0.794926 -0.454141 -0.824135
5.6300 -0.142929 -0.445248 -0.793885 -0.448305 -0.818562
5.6400 -0.141291 -0.442254 -0.792734 -0.442424 -0.812735
5.6500 -0.139631 -0.439163 -0.791473 -0.436499 -0.806654
5.6600 -0.137949 -0.435971 -0.790096 -0.430531 -0.800319
5.6700 -0.136244 -0.432679 -0.788601 -0.424519 -0.793730
5.6800 -0.134518 -0.429284 -0.786985 -0.418465 -0.786887
5.6900 -0.132770 -0.425784 -0.785243 -0.412369 -0.779791
5.7000 -0.131000 -0.422178 -0.783373 -0.406232 -0.772442
5.7100 -0.129209 -0.418465 -0.781368 -0.400054 -0.764840
5.7200 -0.127397 -0.414643 -0.779227 -0.393836 -0.756988
5.7300 -0.125564 -0.410710 -0.776943 -0.387579 -0.748885
5.7400 -0.123710 -0.406664 -0.774513 -0.381283 -0.740534
5.7500 -0.121835 -0.402504 -0.771931 -0.374949 -0.731934
5.7600 -0.119940 -0.398229 -0.769193 -0.368578 -0.723089
5.7700 -0.118024 -0.393836 -0.766293 -0.362169 -0.713998
5.7800 -0.116089 -0.389325 -0.763225 -0.355725 -0.704665
5.7900 -0.114134 -0.384692 -0.759983 -0.349245 -0.695090
5.8000 -0.112159 -0.379938 -0.756561 -0.342730 -0.685277
5.8100 -0.110165 -0.375061 -0.752953 -0.336180 -0.675227
5.8200 -0.108151 -0.370058 -0.749150 -0.329597 -0.664942
5.8300 -0.106119 -0.364929 -0.745147 -0.322981 -0.654425
5.8400 -0.104069 -0.359672 -0.740934 -0.316333 -0.643679
5.8500 -0.102000 -0.354285 -0.736503 -0.309653 -0.632706
5.8600 -0.099913 -0.348768 -0.731846 -0.302942 -0.621509
5.8700 -0.097809 -0.343119 -0.726953 -0.296201 -0.610092
5.8800 -0.095687 -0.337337 -0.721814 -0.289431 -0.598457
5.8900 -0.093548 -0.331420 -0.716418 -0.282631 -0.586607
5.9000 -0.091393 -0.325368 -0.710753 -0.275803 -0.574547
5.9100 -0.089221 -0.319180 -0.704808 -0.268947 -0.562280
5.9200 -0.087032 -0.312854 -0.698570 -0.262065 -0.549808
5.9300 -0.084828 -0.306391 -0.692023 -0.255156 -0.537137
5.9400 -0.082609 -0.299789 -0.685154 -0.248222 -0.524270
5.9500 -0.080374 -0.293049 -0.677947 -0.241263 -0.511211
5.9600 -0.078125 -0.286169 -0.670383 -0.234280 -0.497965
5.9700 -0.075861 -0.279150 -0.662444 -0.227274 -0.484535
5.9800 -0.073584 -0.271992 -0.654110 -0.220244 -0.470926
5.9900 -0.071292 -0.264694 -0.645359 -0.213193 -0.457143
6.0000 -0.068988 -0.257258 -0.636167 -0.206120 -0.443190
6.0100 -0.066670 -0.249684 -0.626510 -0.199027 -0.429072
6.0200 -0.064340 -0.241973 -0.616359 -0.191914 -0.414794
6.0300 -0.061998 -0.234126 -0.605683 -0.184782 -0.400361
6.0400 -0.059644 -0.226144 -0.594450 -0.177631 -0.385777
6.0500 -0.057280 -0.218030 -0.582625 -0.170462 -0.371048
6.0600 -0.054904 -0.209784 -0.570167 -0.163277 -0.356180
6.0700 -0.052517 -0.201410 -0.557034 -0.156075 -0.341177
6.0800 -0.050121 -0.192909 -0.543180 -0.148857 -0.326045
6.0900 -0.047716 -0.184285 -0.528552 -0.141625 -0.310790
6.1000 -0.045301 -0.175541 -0.513094 -0.134378 -0.295416
6.1100 -0.042877 -0.166680 -0.496745 -0.127118 -0.279931
6.1200 -0.040445 -0.157706 -0.479438 -0.119846 -0.264338
6.1300 -0.038006 -0.148624 -0.461099 -0.112561 -0.248645
6.1400 -0.035559 -0.139438 -0.441649 -0.105265 -0.232857
6.1500 -0.033105 -0.130152 -0.421002 -0.097958 -0.216980
6.1600 -0.030645 -0.120773 -0.399066 -0.090642 -0.201019
6.1700 -0.028179 -0.111305 -0.375746 -0.083317 -0.184982
6.1800 -0.025707 -0.101754 -0.350944 -0.075983 -0.168873
6.1900 -0.023231 -0.092127 -0.324562 -0.068642 -0.152700
6.2000 -0.020750 -0.082429 -0.296510 -0.061294 -0.136468
6.2100 -0.018264 -0.072669 -0.266713 -0.053939 -0.120184
6.2200 -0.015776 -0.062852 -0.235123 -0.046580 -0.103853
6.2300 -0.013284 -0.052986 -0.201733 -0.039215 -0.087482
6.2400 -0.010790 -0.043078 -0.166600 -0.031847 -0.071078
6.2500 -0.008293 -0.033137 -0.129856 -0.024476 -0.054646
6.2600 -0.005795 -0.023169 -0.091730 -0.017102 -0.038193
6.2700 -0.003296 -0.013182 -0.052552 -0.009726 -0.021725
6.2800 -0.000796 -0.003185 -0.012739 -0.002350 -0.005249
