M d02 d05 d08 s1 s3
1.0600 0.189783 0.499971 0.772716 0.643523 0.857629
1.0700 0.190445 0.500000 0.770978 0.647097 0.854521
1.0800 0.191084 0.499979 0.769197 0.650606 0.851269
1.0900 0.191700 0.499909 0.767374 0.654051 0.847878
1.1000 0.192294 0.499790 0.765509 0.657429 0.844352
1.1100 0.192864 0.499623 0.763603 0.660743 0.840697
1.1200 0.193412 0.499409 0.761657 0.663990 0.836916
1.1300 0.193937 0.499149 0.759671 0.667170 0.833014
1.1400 0.194440 0.498843 0.757647 0.670284 0.828994
1.1500 0.194920 0.498492 0.755584 0.673331 0.824863
1.1600 0.195377 0.498096 0.753484 0.676311 0.820623
1.1700 0.195813 0.497656 0.751347 0.679223 0.816281
1.1800 0.196226 0.497174 0.749174 0.682067 0.811839
1.1900 0.196617 0.496648 0.746965 0.684843 0.807302
1.2000 0.196987 0.496081 0.744721 0.687550 0.802676
1.2100 0.197334 0.495472 0.742442 0.690189 0.797964
1.2200 0.197659 0.494823 0.740130 0.692759 0.793171
1.2300 0.197963 0.494133 0.737784 0.695259 0.788301
1.2400 0.198246 0.493404 0.735405 0.697690 0.783359
1.2500 0.198506 0.492636 0.732994 0.700051 0.778349
1.2600 0.198746 0.491829 0.730551 0.702342 0.773275
1.2700 0.198964 0.490984 0.728077 0.704563 0.768143
1.2800 0.199161 0.490102 0.725572 0.706713 0.762955
1.2900 0.199337 0.489183 0.723036 0.708793 0.757716
1.3000 0.199492 0.488227 0.720471 0.710802 0.752431
1.3100 0.199626 0.487236 0.717876 0.712739 0.747104
1.3200 0.199739 0.486209 0.715252 0.714606 0.741738
1.3300 0.199832 0.485147 0.712600 0.716401 0.736338
1.3400 0.199905 0.484051 0.709920 0.718124 0.730909
1.3500 0.199957 0.482921 0.707211 0.719776 0.725453
1.3600 0.199988 0.481757 0.704476 0.721355 0.719975
1.3700 0.200000 0.480560 0.701714 0.722863 0.714478
1.3800 0.199992 0.479331 0.698925 0.724298 0.708967
1.3900 0.199963 0.478069 0.696110 0.725660 0.703446
1.4000 0.199915 0.476776 0.693270 0.726951 0.697917
1.4100 0.199848 0.475452 0.690404 0.728168 0.692385
1.4200 0.199760 0.474096 0.687514 0.729313 0.686852
1.4300 0.199654 0.472710 0.684598 0.730384 0.681323
1.4400 0.199528 0.471294 0.681659 0.731383 0.675801
1.4500 0.199383 0.469849 0.678695 0.732309 0.670289
1.4600 0.199219 0.468374 0.675708 0.733161 0.664791
1.4700 0.199036 0.466870 0.672698 0.733940 0.659309
1.4800 0.198834 0.465338 0.669665 0.734645 0.653846
1.4900 0.198614 0.463777 0.666610 0.735278 0.648406
1.5000 0.198375 0.462189 0.663532 0.735836 0.642991
1.5100 0.198117 0.460574 0.660433 0.736321 0.637604
1.5200 0.197842 0.458931 0.657312 0.736733 0.632248
1.5300 0.197548 0.457262 0.654169 0.737070 0.626925
